ID_DESASTRES,FECHA,DEPTO,MUNICIPIO,TIPO_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPA,AFECTADOS,FAMILIAS,VIV_DESTRU,VIV_AVERI,COD_DANE_MP,COD_DEP,COD_MUN,COD_DEP_MUN,ID_DESASTRES
5083OUZA,2014-08-06,ANTIOQUIA,ANORÍ,INUNDACION,5040,0,0,0,35,7,0,7,5.04,5,040,5040,5083OUZA
0802FGHQ,2014-08-06,SANTANDER,GIRÓN,MOVIMIENTO EN MASA,68307,0,0,0,0,0,0,0,68.307,68,307,68307,0802FGHQ
1392SFGP,2014-08-07,ANTIOQUIA,BETULIA,VENDAVAL,5093,0,0,0,0,0,0,0,5.093,5,093,5093,1392SFGP
2243LNEI,2014-08-07,CÓRDOBA,SAHAGÚN,VENDAVAL,23660,0,0,0,500,100,0,100,23.66,23,660,23660,2243LNEI
0310SPTO,2014-08-07,LA GUAJIRA,FONSECA,INUNDACION,44279,0,0,0,0,0,0,0,44.279,44,279,44279,0310SPTO
8467WBVU,2014-08-07,RISARALDA,MARSELLA,VENDAVAL,66440,0,0,0,56,15,0,15,66.44,66,440,66440,8467WBVU
7398BEFU,2014-08-08,RISARALDA,APÍA,VENDAVAL,66045,0,0,0,155,31,0,31,66.045,66,045,66045,7398BEFU
2110EBNK,2014-08-08,RISARALDA,SANTUARIO,VENDAVAL,66687,0,0,0,15,3,0,3,66.687,66,687,66687,2110EBNK
5250LMEW,2014-08-08,VALLE DEL CAUCA,BUENAVENTURA,VENDAVAL,76109,0,0,0,300,60,0,60,76.109,76,109,76109,5250LMEW
9396HMSW,2014-08-09,BOYACÁ,PUERTO BOYACÁ,VENDAVAL,15572,0,0,0,0,0,0,0,15.572,15,572,15572,9396HMSW
2088SUYB,2014-08-09,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,VENDAVAL,88001,0,0,0,5,1,0,1,88.001,88,001,88001,2088SUYB
8368PEYC,2014-08-09,SANTANDER,LA BELLEZA,VENDAVAL,68377,0,0,0,175,35,0,9,68.377,68,377,68377,8368PEYC
3778GABE,2014-08-10,CHOCÓ,UNGUÍA,VENDAVAL,27800,0,0,0,1095,219,0,0,27.8,27,800,27800,3778GABE
9434EZDO,2014-08-10,CÓRDOBA,BUENAVISTA,VENDAVAL,23079,0,0,0,1450,290,0,290,23.079,23,079,23079,9434EZDO
0335XPGV,2014-08-10,LA GUAJIRA,DISTRACCIÓN,INUNDACION,44098,0,0,0,0,0,0,0,44.098,44,098,44098,0335XPGV
6049WLMZ,2014-08-10,META,VILLAVICENCIO,INUNDACION,50001,0,0,0,40,8,0,15,50.001,50,001,50001,6049WLMZ
2546DSDI,2014-08-10,NORTE DE SANTANDER,EL CARMEN,VENDAVAL,54245,0,0,0,53,6,0,6,54.245,54,245,54245,2546DSDI
5188ERHP,2014-08-10,SUCRE,SINCELEJO,INUNDACION,70001,0,0,0,77,17,0,17,70.001,70,001,70001,5188ERHP
1506WONA,2014-08-11,ANTIOQUIA,REMEDIOS,VENDAVAL,5604,0,0,0,470,94,0,94,5.604,5,604,5604,1506WONA
8314XXXH,2014-08-11,CESAR,GAMARRA,VENDAVAL,20295,0,0,0,0,0,0,0,20.295,20,295,20295,8314XXXH
3986LOPJ,2014-08-11,CESAR,PAILITAS,VENDAVAL,20517,0,0,0,290,58,0,58,20.517,20,517,20517,3986LOPJ
3705TMLF,2014-08-12,ATLÁNTICO,SABANALARGA,VENDAVAL,8638,0,0,0,840,168,0,168,8.638,8,638,8638,3705TMLF
7812ZNTQ,2014-08-12,CASANARE,PORE,INUNDACION,85263,0,0,0,460,92,0,0,85.263,85,263,85263,7812ZNTQ
4619OQLO,2014-08-12,MAGDALENA,EL PIÑON,VENDAVAL,47258,0,0,0,64,16,0,16,47.258,47,258,47258,4619OQLO
6526VMHH,2014-08-12,TOLIMA,LÍBANO,INUNDACION,73411,0,0,0,15,3,0,3,73.411,73,411,73411,6526VMHH
2002IXHA,2014-08-13,CALDAS,MARQUETALIA,VENDAVAL,17444,0,0,0,70,14,0,14,17.444,17,444,17444,2002IXHA
5744JRTC,2014-08-13,CASANARE,SAN LUIS DE PALENQUE,VENDAVAL,85325,0,0,0,60,12,0,12,85.325,85,325,85325,5744JRTC
6052BSUK,2014-08-13,CASANARE,TRINIDAD,VENDAVAL,85430,0,0,0,11,3,0,3,85.43,85,430,85430,6052BSUK
7225FYRM,2014-08-13,CAUCA,MORALES,VENDAVAL,19473,0,0,0,1095,379,0,379,19.473,19,473,19473,7225FYRM
